,datetime,eo_code,motohours,eo_model_name,eo_model_id,eo_description,level_1_description,operation_start_date,operation_start_date_ts,motohours_date_ts,motohours_measure_ts
4028,2022-03-09,100000008674,31707.87,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1620,Полюс Вернинское,2017-12-12,1513036800,1646784000,133747200
4029,2022-03-09,100000008673,32393.18,Самосвалы CAT 785C,65,Самосвал карьерный 785C №1619,Полюс Вернинское,2017-12-12,1513036800,1646784000,133747200
4030,2022-03-08,100000084412,26592.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №29,Полюс Магадан,2018-09-10,1536537600,1646697600,110160000
4031,2022-03-08,100000065981,43497.1,Самосвалы CAT 785C,65,Самосвал карьерный 785C №450,Олимпиадинский ГОК,2016-08-10,1470787200,1646697600,175910400
4032,2022-03-08,100000065980,43927.611,Самосвалы CAT 785C,65,Самосвал карьерный 785C №449,Олимпиадинский ГОК,2016-08-10,1470787200,1646697600,175910400
4033,2022-03-08,100000065979,43249.106,Самосвалы CAT 785C,65,Самосвал карьерный 785C №448,Олимпиадинский ГОК,2016-08-10,1470787200,1646697600,175910400
4034,2022-03-08,100000065977,42580.236,Самосвалы CAT 785C,65,Самосвал карьерный 785C №446,Олимпиадинский ГОК,2016-08-10,1470787200,1646697600,175910400
4035,2022-03-08,100000084411,28455.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №28,Полюс Магадан,2018-07-31,1532995200,1646697600,113702400
4036,2022-03-08,100000084410,29040.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №27,Полюс Магадан,2018-07-31,1532995200,1646697600,113702400
4037,2022-03-08,100000084409,29118.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №26,Полюс Магадан,2018-07-31,1532995200,1646697600,113702400
4038,2022-03-08,100000084408,29123.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №25,Полюс Магадан,2018-06-30,1530316800,1646697600,116380800
4039,2022-03-08,100000065635,62261.422,Самосвалы CAT 785C,65,Самосвал карьерный 785C №536,Олимпиадинский ГОК,2014-03-06,1394064000,1646697600,252633600
4040,2022-03-08,100000065636,59596.047,Самосвалы CAT 785C,65,Самосвал карьерный 785C №535,Олимпиадинский ГОК,2014-03-06,1394064000,1646697600,252633600
4041,2022-03-08,100000065634,60971.484,Самосвалы CAT 785C,65,Самосвал карьерный 785C №534,Олимпиадинский ГОК,2014-03-06,1394064000,1646697600,252633600
4042,2022-03-08,100000065633,59596.931,Самосвалы CAT 785C,65,Самосвал карьерный 785C №533,Олимпиадинский ГОК,2014-03-06,1394064000,1646697600,252633600
4043,2022-03-08,100000065631,58850.284,Самосвалы CAT 785C,65,Самосвал карьерный 785C №532,Олимпиадинский ГОК,2014-02-28,1393545600,1646697600,253152000
4044,2022-03-08,100000065629,62439.815,Самосвалы CAT 785C,65,Самосвал карьерный 785C №531,Олимпиадинский ГОК,2021-07-03,1625270400,1646697600,21427200
4045,2022-03-08,100000065632,59506.702,Самосвалы CAT 785C,65,Самосвал карьерный 785C №530,Олимпиадинский ГОК,2014-02-28,1393545600,1646697600,253152000
4046,2022-03-08,100000065630,62270.561,Самосвалы CAT 785C,65,Самосвал карьерный 785C №529,Олимпиадинский ГОК,2014-02-28,1393545600,1646697600,253152000
4047,2022-03-08,100000065628,55118.565,Самосвалы CAT 785C,65,Самосвал карьерный 785C №528,Олимпиадинский ГОК,2014-02-28,1393545600,1646697600,253152000
4048,2022-03-08,100000065627,62995.558,Самосвалы CAT 785C,65,Самосвал карьерный 785C №527,Олимпиадинский ГОК,2013-12-31,1388448000,1646697600,258249600
4049,2022-03-08,100000065623,65013.745,Самосвалы CAT 785C,65,Самосвал карьерный 785C №525,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4050,2022-03-08,100000065624,63571.067,Самосвалы CAT 785C,65,Самосвал карьерный 785C №524,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4051,2022-03-08,100000065626,64398.601,Самосвалы CAT 785C,65,Самосвал карьерный 785C №523,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4052,2022-03-08,100000065643,71318.253,Самосвалы CAT 785C,65,Самосвал карьерный 785C №522,Олимпиадинский ГОК,2012-09-30,1348963200,1646697600,297734400
4053,2022-03-08,100000065641,72348.064,Самосвалы CAT 785C,65,Самосвал карьерный 785C №521,Олимпиадинский ГОК,2012-09-30,1348963200,1646697600,297734400
4054,2022-03-08,100000065638,71642.183,Самосвалы CAT 785C,65,Самосвал карьерный 785C №520,Олимпиадинский ГОК,2012-07-05,1341446400,1646697600,305251200
4055,2022-03-08,100000065639,73628.232,Самосвалы CAT 785C,65,Самосвал карьерный 785C №519,Олимпиадинский ГОК,2012-07-05,1341446400,1646697600,305251200
4056,2022-03-08,100000065637,74345.628,Самосвалы CAT 785C,65,Самосвал карьерный 785C №518,Олимпиадинский ГОК,2012-07-05,1341446400,1646697600,305251200
4057,2022-03-08,100000065640,71835.645,Самосвалы CAT 785C,65,Самосвал карьерный 785C №517,Олимпиадинский ГОК,2012-07-05,1341446400,1646697600,305251200
4058,2022-03-08,100000065622,83664.689,Самосвалы CAT 785C,65,Самосвал карьерный 785C №516,Олимпиадинский ГОК,2011-05-20,1305849600,1646697600,340848000
4059,2022-03-08,100000065620,85840.295,Самосвалы CAT 785C,65,Самосвал карьерный 785C №515,Олимпиадинский ГОК,2011-04-30,1304121600,1646697600,342576000
4060,2022-03-08,100000065619,81262.739,Самосвалы CAT 785C,65,Самосвал карьерный 785C №514,Олимпиадинский ГОК,2011-03-31,1301529600,1646697600,345168000
4061,2022-03-08,100000065618,85447.771,Самосвалы CAT 785C,65,Самосвал карьерный 785C №512,Олимпиадинский ГОК,2011-03-31,1301529600,1646697600,345168000
4062,2022-03-08,100000065617,84213.91,Самосвалы CAT 785C,65,Самосвал карьерный 785C №511,Олимпиадинский ГОК,2011-02-28,1298851200,1646697600,347846400
4063,2022-03-08,100000065616,87484.326,Самосвалы CAT 785C,65,Самосвал карьерный 785C №510,Олимпиадинский ГОК,2011-02-28,1298851200,1646697600,347846400
4064,2022-03-08,100000065615,85414.49,Самосвалы CAT 785C,65,Самосвал карьерный 785C №509,Олимпиадинский ГОК,2011-02-18,1297987200,1646697600,348710400
4065,2022-03-08,100000065614,86347.255,Самосвалы CAT 785C,65,Самосвал карьерный 785C №508,Олимпиадинский ГОК,2011-02-28,1298851200,1646697600,347846400
4066,2022-03-08,100000065613,87273.431,Самосвалы CAT 785C,65,Самосвал карьерный 785C №507,Олимпиадинский ГОК,2011-01-31,1296432000,1646697600,350265600
4067,2022-03-08,100000065612,88248.495,Самосвалы CAT 785C,65,Самосвал карьерный 785C №506,Олимпиадинский ГОК,2011-01-31,1296432000,1646697600,350265600
4068,2022-03-08,100000065611,86501.166,Самосвалы CAT 785C,65,Самосвал карьерный 785C №505,Олимпиадинский ГОК,2010-12-31,1293753600,1646697600,352944000
4069,2022-03-08,100000084406,29588.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №23,Полюс Магадан,2018-06-30,1530316800,1646697600,116380800
4070,2022-03-08,100000065609,83420.575,Самосвалы CAT 785C,65,Самосвал карьерный 785C №504,Олимпиадинский ГОК,2010-12-31,1293753600,1646697600,352944000
4071,2022-03-08,100000065608,85586.535,Самосвалы CAT 785C,65,Самосвал карьерный 785C №503,Олимпиадинский ГОК,2010-12-16,1292457600,1646697600,354240000
4072,2022-03-08,100000065607,85153.489,Самосвалы CAT 785C,65,Самосвал карьерный 785C №502,Олимпиадинский ГОК,2010-12-16,1292457600,1646697600,354240000
4073,2022-03-08,100000065606,90421.924,Самосвалы CAT 785C,65,Самосвал карьерный 785C №501,Олимпиадинский ГОК,2010-12-16,1292457600,1646697600,354240000
4074,2022-03-08,100000062385,52865.053,Самосвалы CAT 785C,65,Самосвал карьерный 785C №445,Олимпиадинский ГОК,2014-06-19,1403136000,1646697600,243561600
4075,2022-03-08,100000062387,56579.563,Самосвалы CAT 785C,65,Самосвал карьерный 785C №444,Олимпиадинский ГОК,2014-06-19,1403136000,1646697600,243561600
4076,2022-03-08,100000062388,59434.929,Самосвалы CAT 785C,65,Самосвал карьерный 785C №443,Олимпиадинский ГОК,2014-06-19,1403136000,1646697600,243561600
4077,2022-03-08,100000084405,29074.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №22,Полюс Магадан,2018-05-30,1527638400,1646697600,119059200
4078,2022-03-08,100000062389,56533.537,Самосвалы CAT 785C,65,Самосвал карьерный 785C №442,Олимпиадинский ГОК,2014-06-19,1403136000,1646697600,243561600
4079,2022-03-08,100000062386,56480.503,Самосвалы CAT 785C,65,Самосвал карьерный 785C №441,Олимпиадинский ГОК,2014-06-19,1403136000,1646697600,243561600
4080,2022-03-08,100000062399,62343.231,Самосвалы CAT 785C,65,Самосвал карьерный 785C №440,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4081,2022-03-08,100000062398,60501.83,Самосвалы CAT 785C,65,Самосвал карьерный 785C №439,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4082,2022-03-08,100000062396,62877.59,Самосвалы CAT 785C,65,Самосвал карьерный 785C №437,Олимпиадинский ГОК,2013-12-13,1386892800,1646697600,259804800
4083,2022-03-08,100000084404,29215.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №21,Полюс Магадан,2018-05-30,1527638400,1646697600,119059200
4084,2022-03-08,100000062395,62795.429,Самосвалы CAT 785C,65,Самосвал карьерный 785C №436,Олимпиадинский ГОК,2013-12-31,1388448000,1646697600,258249600
4085,2022-03-08,100000062390,66807.237,Самосвалы CAT 785C,65,Самосвал карьерный 785C №435,Олимпиадинский ГОК,2013-07-31,1375228800,1646697600,271468800
4086,2022-03-08,100000062392,65021.017,Самосвалы CAT 785C,65,Самосвал карьерный 785C №434,Олимпиадинский ГОК,2013-07-31,1375228800,1646697600,271468800
4087,2022-03-08,100000062394,65538.246,Самосвалы CAT 785C,65,Самосвал карьерный 785C №433,Олимпиадинский ГОК,2013-07-31,1375228800,1646697600,271468800
4088,2022-03-08,100000062393,60308.803,Самосвалы CAT 785C,65,Самосвал карьерный 785C №432,Олимпиадинский ГОК,2013-07-31,1375228800,1646697600,271468800
4089,2022-03-08,100000062391,65121.63,Самосвалы CAT 785C,65,Самосвал карьерный 785C №431,Олимпиадинский ГОК,2013-07-31,1375228800,1646697600,271468800
4090,2022-03-08,100000084403,30047.0,Самосвалы Komatsu 730E-8,69,Самосвал карьерный 730E-8 №20,Полюс Магадан,2018-05-30,1527638400,1646697600,119059200
4091,2022-03-08,100000062384,80337.587,Самосвалы CAT 785C,65,Самосвал карьерный 785C №430,Олимпиадинский ГОК,2011-08-22,1313971200,1646697600,332726400
