,datetime,eo_code,motohours
30042,2021-11-23,100000065980,41609.901
30044,2021-11-22,100000062398,58178.808
30045,2021-11-22,100000065974,80956.713
30046,2021-11-22,100000065969,78390.657
30047,2021-11-22,100000008674,29300.74
30048,2021-11-22,100000008673,29978.91
30051,2021-11-22,100000065620,83513.229
30053,2021-11-22,100000065617,81789.086
30054,2021-11-22,100000065616,85247.169
30057,2021-11-22,100000065614,84091.497
30058,2021-11-22,100000065609,80994.591
30061,2021-11-22,100000062379,94099.224
30062,2021-11-22,100000062377,94867.152
30065,2021-11-22,100000062373,95205.5
30067,2021-11-22,100000062372,95223.136
30069,2021-11-22,100000062370,99812.041
30071,2021-11-22,100000028868,95102.466
30072,2021-11-22,100000065636,57171.526
30075,2021-11-22,100000065631,56449.823
30076,2021-11-22,100000065630,59946.085
30078,2021-11-22,100000065628,52800.199
30081,2021-11-22,100000065624,61569.237
30083,2021-11-22,100000065623,63070.002
30086,2021-11-22,100000062396,60854.347
30088,2021-11-22,100000062386,54146.885
30089,2021-11-22,100000062381,79846.324
30092,2021-11-22,100000065970,83604.756
30095,2021-11-22,100000065619,79008.175
30097,2021-11-22,100000065967,78590.353
30099,2021-11-22,100000065611,84115.026
30101,2021-11-22,100000065606,88112.787
30103,2021-11-22,100000065632,57254.072
30105,2021-11-22,100000065626,62026.301
30107,2021-11-22,100000065625,59411.97
30108,2021-11-22,100000062392,63326.502
30110,2021-11-22,100000062390,64538.471
30113,2021-11-22,100000065643,68932.095
30115,2021-11-22,100000065641,70033.248
30116,2021-11-22,100000065640,69760.278
30119,2021-11-22,100000065639,71230.095
30121,2021-11-22,100000065977,40221.694
30123,2021-11-22,100000062387,54286.722
30124,2021-11-22,100000065981,41150.101
30127,2021-11-22,100000065980,41598.481
30128,2021-11-22,100000065978,41067.101
30130,2021-11-22,100000065638,69238.313
30132,2021-11-22,100000065637,72018.904
30135,2021-11-22,100000065635,59919.043
30137,2021-11-22,100000065633,57204.976
30139,2021-11-22,100000065629,60071.312
30141,2021-11-22,100000065627,60538.311
30142,2021-11-22,100000062399,60035.565
30144,2021-11-22,100000062395,60850.724
30147,2021-11-22,100000062391,62848.43
30149,2021-11-22,100000062388,57097.093
30150,2021-11-22,100000065622,81426.13
30153,2021-11-22,100000065972,81483.175
30155,2021-11-22,100000065618,83363.791
30157,2021-11-22,100000062384,77992.519
30159,2021-11-22,100000062383,80047.89
30161,2021-11-22,100000062380,78694.281
30163,2021-11-22,100000062378,94681.58
30165,2021-11-22,100000062376,93315.363
30166,2021-11-22,100000062371,96131.016
30169,2021-11-22,100000062369,96191.185
30171,2021-11-22,100000065634,58639.902
30173,2021-11-22,100000062397,61174.374
30175,2021-11-22,100000062394,63266.134
30176,2021-11-22,100000062393,57960.545
30178,2021-11-22,100000062389,54524.862
30181,2021-11-22,100000062385,50493.934
30183,2021-11-22,100000062382,78665.543
30184,2021-11-22,100000065976,81929.811
30186,2021-11-22,100000065975,77834.659
30188,2021-11-22,100000065971,81433.21
30191,2021-11-22,100000065968,81351.003
30192,2021-11-22,100000065615,83424.312
30195,2021-11-22,100000065613,84923.177
30196,2021-11-22,100000065612,86177.161
30198,2021-11-22,100000065608,83181.859
30201,2021-11-22,100000065607,82771.558
30202,2021-11-22,100000065979,40882.219
30204,2021-11-22,100000062378,94670.57
30205,2021-11-22,100000062382,78653.983
30206,2021-11-22,100000062380,78682.811
30208,2021-11-22,100000065637,72006.964
