Документ измерений,Дата,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
30780868,3/11/2022,"855977,970",км,100000065629
30780846,3/11/2022,"59537,998",МТЧ,100000065632
30780802,3/11/2022,"62328,681",МТЧ,100000065630
30780792,3/11/2022,"840702,854",км,100000065630
30780758,3/11/2022,"55178,565",МТЧ,100000065628
30780742,3/11/2022,"760750,888",км,100000065628
30780727,3/11/2022,"63053,518",МТЧ,100000065627
30780687,3/11/2022,"861799,103",км,100000065627
30780672,3/11/2022,"61804,296",МТЧ,100000065625
30780663,3/11/2022,"838364,466",км,100000065625
30780638,3/11/2022,"65067,872",МТЧ,100000065623
30780616,3/11/2022,"891004,088",км,100000065623
30780602,3/11/2022,"63589,867",МТЧ,100000065624
30780559,3/11/2022,"64457,791",МТЧ,100000065626
30780526,3/11/2022,"893834,668",км,100000065626
30780509,3/11/2022,"71358,143",МТЧ,100000065643
30780494,3/11/2022,"977329,382",км,100000065643
30780461,3/11/2022,"72404,064",МТЧ,100000065641
30780415,3/11/2022,"977279,954",км,100000065641
30780396,3/11/2022,"71701,703",МТЧ,100000065638
30780371,3/11/2022,"73687,132",МТЧ,100000065639
30780356,3/11/2022,"1025807,411",км,100000065639
30780338,3/11/2022,"74405,328",МТЧ,100000065637
30780319,3/11/2022,"1030378,615",км,100000065637
30780291,3/11/2022,"71891,983",МТЧ,100000065640
30780267,3/11/2022,"83721,789",МТЧ,100000065622
30780248,3/11/2022,"1110472,671",км,100000065622
30780232,3/11/2022,"85899,295",МТЧ,100000065620
30780205,3/11/2022,"1157047,546",км,100000065620
30780178,3/11/2022,"81319,087",МТЧ,100000065619
30780161,3/11/2022,"1062997,887",км,100000065619
30780152,3/11/2022,"85504,771",МТЧ,100000065618
30780137,3/11/2022,"1140407,309",км,100000065618
30780119,3/11/2022,"84272,530",МТЧ,100000065617
30780071,3/11/2022,"1117776,081",км,100000065617
30780061,3/11/2022,"87540,742",МТЧ,100000065616
30780054,3/11/2022,"1155520,635",км,100000065616
30780038,3/11/2022,"85467,460",МТЧ,100000065615
30780021,3/11/2022,"1101479,505",км,100000065615
30779998,3/11/2022,"86406,215",МТЧ,100000065614
30779979,3/11/2022,"1121051,919",км,100000065614
30779958,3/11/2022,"87329,993",МТЧ,100000065613
30779943,3/11/2022,"1164330,665",км,100000065613
30779933,3/11/2022,"88291,225",МТЧ,100000065612
30779915,3/11/2022,"1174752,603",км,100000065612
30779897,3/11/2022,"86559,456",МТЧ,100000065611
30779878,3/11/2022,"1121430,656",км,100000065611
30779808,3/11/2022,"83474,155",МТЧ,100000065609
30779854,3/11/2022,"1157643,677",км,100000065609
30779740,3/11/2022,"85642,325",МТЧ,100000065608
30779833,3/11/2022,"1106899,535",км,100000065608
30779813,3/11/2022,"85196,641",МТЧ,100000065607
30779795,3/11/2022,"1119892,720",км,100000065607
30779763,3/11/2022,"90481,424",МТЧ,100000065606
30779709,3/11/2022,"52921,660",МТЧ,100000062385
30779691,3/11/2022,"722615,036",км,100000062385
30779682,3/11/2022,"56637,628",МТЧ,100000062387
30779646,3/11/2022,"728026,251",км,100000062387
30779627,3/11/2022,"56586,448",МТЧ,100000062389
